Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components
CNAG_04891,1,Cryptococcus neoformans var. grubii H99,"CP003829.1:98,020..99,863(+)",hypothetical protein,protein coding gene,CNAG_04891,IPR000772;IPR035992,"Ricin B, lectin domain;Ricin B-like lectins",204,615,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_01954,2,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,356,922..1,358,417(-)",aldo-keto reductase,protein coding gene,CNAG_01954,IPR023210;IPR036812,NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily,329,990,aldo-keto reductase,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02526,3,Cryptococcus neoformans var. grubii H99,"CP003825.1:84,920..86,031(-)",hypothetical protein,protein coding gene,CNAG_02526,N/A,N/A,214,645,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A
CNAG_04142,4,Cryptococcus neoformans var. grubii H99,"CP003828.1:114,834..117,004(-)",tartrate transporter,protein coding gene,CNAG_04142,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,530,1593,tartrate transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane
CNAG_07447,5,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,561,568..1,562,663(+)",hypothetical protein,protein coding gene,CNAG_07447,N/A,N/A,265,798,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03867,6,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,045,147..1,046,231(+)",hypothetical protein,protein coding gene,CNAG_03867,N/A,N/A,204,615,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00588,7,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,511,795..1,513,507(-)",hypothetical protein,protein coding gene,CNAG_00588,IPR000772;IPR035992,"Ricin B, lectin domain;Ricin B-like lectins",171,516,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A
CNAG_00269,8,Cryptococcus neoformans var. grubii H99,"CP003820.1:701,715..703,882(+)",Sorbitol dehydrogenase,protein coding gene,CNAG_00269,IPR002328;IPR011032;IPR013149;IPR013154;IPR036291,"Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily",416,1251,Sorbitol dehydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity;zinc ion binding,N/A
CNAG_05075,9,Cryptococcus neoformans var. grubii H99,"CP003823.1:369,260..371,679(-)",solute carrier family 20 (sodium-dependent phosphate transporter),protein coding gene,CNAG_05075,IPR001204,Phosphate transporter,591,1776,solute carrier family 20 (sodium-dependent phosphate transporter),response to zinc ion,N/A,N/A,phosphate ion transport,inorganic phosphate transmembrane transporter activity;symporter activity,integral component of membrane;membrane
CNAG_01052,10,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,335,183..1,337,422(-)",hypothetical protein,protein coding gene,CNAG_01052,N/A,N/A,366,1101,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
